Filled container:
Container contains 10000 elements.
0: It is TRIANGLE. Coordinates of vertices: (-90, -29), (7, -67), (22, 76). Perimeter =  401.484279; Color: GREEN
1: It is TRIANGLE. Coordinates of vertices: (88, 65), (-4, -79), (56, -85). Perimeter =  384.554685; Color: CYAN
2: It is RECTANGLE. Coordinates of angles: (77, -17), (80, 69). Perimeter = 178.000000; Color: PURPLE
3: It is RECTANGLE. Coordinates of angles: (75, -75), (164, 16). Perimeter = 360.000000; Color: GREEN
4: It is RECTANGLE. Coordinates of angles: (-56, 21), (-21, 71). Perimeter = 170.000000; Color: ORANGE
5: It is RECTANGLE. Coordinates of angles: (86, -16), (139, 35). Perimeter = 208.000000; Color: GREEN
6: It is TRIANGLE. Coordinates of vertices: (52, -25), (67, -7), (70, -3). Perimeter =  56.856090; Color: CYAN
7: It is TRIANGLE. Coordinates of vertices: (-77, -7), (-78, -11), (95, -5). Perimeter =  349.238748; Color: ORANGE
8: It is TRIANGLE. Coordinates of vertices: (-82, 1), (24, 11), (37, -83). Perimeter =  347.025896; Color: ORANGE
9: It is TRIANGLE. Coordinates of vertices: (35, 72), (63, 92), (-39, 91). Perimeter =  212.814465; Color: CYAN
10: It is CIRCLE. Center coordinates: (-100, -56), radius: 20. Perimeter = 125.663706; Color: YELLOW
11: It is RECTANGLE. Coordinates of angles: (-36, -73), (-35, -18). Perimeter = 112.000000; Color: RED
12: It is CIRCLE. Center coordinates: (-16, -17), radius: 68. Perimeter = 427.256601; Color: BLUE
13: It is CIRCLE. Center coordinates: (-4, -12), radius: 65. Perimeter = 408.407045; Color: RED
14: It is CIRCLE. Center coordinates: (-59, 93), radius: 62. Perimeter = 389.557489; Color: PURPLE
15: It is RECTANGLE. Coordinates of angles: (4, 19), (90, 38). Perimeter = 210.000000; Color: RED
16: It is CIRCLE. Center coordinates: (33, -3), radius: 73. Perimeter = 458.672527; Color: RED
17: It is RECTANGLE. Coordinates of angles: (88, -60), (175, 28). Perimeter = 350.000000; Color: GREEN
18: It is RECTANGLE. Coordinates of angles: (5, 3), (66, 43). Perimeter = 202.000000; Color: GREEN
19: It is CIRCLE. Center coordinates: (70, -60), radius: 42. Perimeter = 263.893783; Color: RED
20: It is TRIANGLE. Coordinates of vertices: (10, -35), (65, -22), (61, -2). Perimeter =  137.656933; Color: YELLOW
21: It is TRIANGLE. Coordinates of vertices: (65, -11), (33, 23), (-90, 33). Perimeter =  331.220480; Color: BLUE
22: It is RECTANGLE. Coordinates of angles: (-53, 89), (39, 162). Perimeter = 330.000000; Color: PURPLE
23: It is RECTANGLE. Coordinates of angles: (-85, 32), (-41, 92). Perimeter = 208.000000; Color: RED
24: It is RECTANGLE. Coordinates of angles: (-73, -36), (-8, 48). Perimeter = 298.000000; Color: BLUE
25: It is CIRCLE. Center coordinates: (43, 82), radius: 68. Perimeter = 427.256601; Color: RED
26: It is RECTANGLE. Coordinates of angles: (-29, -54), (-19, 12). Perimeter = 152.000000; Color: YELLOW
27: It is RECTANGLE. Coordinates of angles: (-63, -11), (31, 17). Perimeter = 244.000000; Color: GREEN
28: It is RECTANGLE. Coordinates of angles: (-14, 9), (-1, 95). Perimeter = 198.000000; Color: RED
29: It is RECTANGLE. Coordinates of angles: (9, 52), (26, 134). Perimeter = 198.000000; Color: YELLOW
30: It is TRIANGLE. Coordinates of vertices: (99, -99), (17, 89), (55, -41). Perimeter =  413.345974; Color: GREEN
31: It is TRIANGLE. Coordinates of vertices: (-85, -54), (-55, 92), (79, -73). Perimeter =  526.705496; Color: PURPLE
32: It is CIRCLE. Center coordinates: (40, 22), radius: 58. Perimeter = 364.424748; Color: YELLOW
33: It is RECTANGLE. Coordinates of angles: (-19, 95), (61, 185). Perimeter = 340.000000; Color: YELLOW
34: It is TRIANGLE. Coordinates of vertices: (66, 83), (-98, 66), (-61, -66). Perimeter =  497.746796; Color: BLUE
35: It is RECTANGLE. Coordinates of angles: (-60, -38), (-46, -23). Perimeter = 58.000000; Color: RED
36: It is TRIANGLE. Coordinates of vertices: (-7, -32), (67, -93), (-88, 0). Perimeter =  363.752405; Color: GREEN
37: It is TRIANGLE. Coordinates of vertices: (57, 73), (-28, -73), (-19, -35). Perimeter =  340.052659; Color: BLUE
38: It is RECTANGLE. Coordinates of angles: (80, 34), (124, 74). Perimeter = 168.000000; Color: ORANGE
39: It is TRIANGLE. Coordinates of vertices: (4, -37), (30, 84), (-86, 60). Perimeter =  374.540189; Color: PURPLE
40: It is CIRCLE. Center coordinates: (-45, -28), radius: 72. Perimeter = 452.389342; Color: BLUE
41: It is CIRCLE. Center coordinates: (64, -29), radius: 51. Perimeter = 320.442451; Color: YELLOW
42: It is TRIANGLE. Coordinates of vertices: (23, 96), (-12, 89), (23, -64). Perimeter =  352.645359; Color: BLUE
43: It is CIRCLE. Center coordinates: (-2, -81), radius: 21. Perimeter = 131.946891; Color: CYAN
