Container with deleted elements:
Container contains 4698 elements.
0: It is TRIANGLE. Coordinates of vertices: (-90, -29), (7, -67), (22, 76). Perimeter =  401.484279; Color: GREEN
1: It is TRIANGLE. Coordinates of vertices: (88, 65), (-4, -79), (56, -85). Perimeter =  384.554685; Color: CYAN
2: It is RECTANGLE. Coordinates of angles: (75, -75), (164, 16). Perimeter = 360.000000; Color: GREEN
3: It is TRIANGLE. Coordinates of vertices: (-77, -7), (-78, -11), (95, -5). Perimeter =  349.238748; Color: ORANGE
4: It is TRIANGLE. Coordinates of vertices: (-82, 1), (24, 11), (37, -83). Perimeter =  347.025896; Color: ORANGE
5: It is CIRCLE. Center coordinates: (-16, -17), radius: 68. Perimeter = 427.256601; Color: BLUE
6: It is CIRCLE. Center coordinates: (-4, -12), radius: 65. Perimeter = 408.407045; Color: RED
7: It is CIRCLE. Center coordinates: (-59, 93), radius: 62. Perimeter = 389.557489; Color: PURPLE
8: It is CIRCLE. Center coordinates: (33, -3), radius: 73. Perimeter = 458.672527; Color: RED
9: It is RECTANGLE. Coordinates of angles: (88, -60), (175, 28). Perimeter = 350.000000; Color: GREEN
10: It is TRIANGLE. Coordinates of vertices: (65, -11), (33, 23), (-90, 33). Perimeter =  331.220480; Color: BLUE
11: It is RECTANGLE. Coordinates of angles: (-53, 89), (39, 162). Perimeter = 330.000000; Color: PURPLE
12: It is RECTANGLE. Coordinates of angles: (-73, -36), (-8, 48). Perimeter = 298.000000; Color: BLUE
13: It is CIRCLE. Center coordinates: (43, 82), radius: 68. Perimeter = 427.256601; Color: RED
14: It is TRIANGLE. Coordinates of vertices: (99, -99), (17, 89), (55, -41). Perimeter =  413.345974; Color: GREEN
15: It is TRIANGLE. Coordinates of vertices: (-85, -54), (-55, 92), (79, -73). Perimeter =  526.705496; Color: PURPLE
16: It is CIRCLE. Center coordinates: (40, 22), radius: 58. Perimeter = 364.424748; Color: YELLOW
17: It is RECTANGLE. Coordinates of angles: (-19, 95), (61, 185). Perimeter = 340.000000; Color: YELLOW
18: It is TRIANGLE. Coordinates of vertices: (66, 83), (-98, 66), (-61, -66). Perimeter =  497.746796; Color: BLUE
19: It is TRIANGLE. Coordinates of vertices: (-7, -32), (67, -93), (-88, 0). Perimeter =  363.752405; Color: GREEN
20: It is TRIANGLE. Coordinates of vertices: (57, 73), (-28, -73), (-19, -35). Perimeter =  340.052659; Color: BLUE
21: It is TRIANGLE. Coordinates of vertices: (4, -37), (30, 84), (-86, 60). Perimeter =  374.540189; Color: PURPLE
22: It is CIRCLE. Center coordinates: (-45, -28), radius: 72. Perimeter = 452.389342; Color: BLUE
23: It is CIRCLE. Center coordinates: (64, -29), radius: 51. Perimeter = 320.442451; Color: YELLOW
24: It is TRIANGLE. Coordinates of vertices: (23, 96), (-12, 89), (23, -64). Perimeter =  352.645359; Color: BLUE
25: It is CIRCLE. Center coordinates: (43, 91), radius: 92. Perimeter = 578.053048; Color: GREEN
26: It is TRIANGLE. Coordinates of vertices: (-41, -96), (90, 52), (30, -75). Perimeter =  412.149166; Color: PURPLE
27: It is RECTANGLE. Coordinates of angles: (95, 96), (172, 191). Perimeter = 344.000000; Color: GREEN
28: It is TRIANGLE. Coordinates of vertices: (8, -26), (62, -93), (39, 75). Perimeter =  361.269772; Color: GREEN
29: It is CIRCLE. Center coordinates: (1, 33), radius: 63. Perimeter = 395.840674; Color: GREEN
30: It is TRIANGLE. Coordinates of vertices: (61, -41), (0, 25), (-99, -59). Perimeter =  380.715958; Color: YELLOW
31: It is TRIANGLE. Coordinates of vertices: (16, 51), (61, -49), (-58, 15). Perimeter =  327.069190; Color: GREEN
32: It is CIRCLE. Center coordinates: (-72, -4), radius: 84. Perimeter = 527.787566; Color: BLUE
33: It is TRIANGLE. Coordinates of vertices: (57, 10), (67, -88), (13, 59). Perimeter =  320.969384; Color: PURPLE
34: It is CIRCLE. Center coordinates: (92, 51), radius: 76. Perimeter = 477.522083; Color: YELLOW
35: It is CIRCLE. Center coordinates: (-34, 62), radius: 76. Perimeter = 477.522083; Color: CYAN
36: It is RECTANGLE. Coordinates of angles: (-69, -23), (26, 69). Perimeter = 374.000000; Color: GREEN
37: It is CIRCLE. Center coordinates: (22, 16), radius: 84. Perimeter = 527.787566; Color: RED
38: It is TRIANGLE. Coordinates of vertices: (18, 71), (41, -95), (10, -67). Perimeter =  347.590686; Color: YELLOW
39: It is TRIANGLE. Coordinates of vertices: (47, 91), (-88, 75), (34, -62). Perimeter =  472.943676; Color: ORANGE
40: It is CIRCLE. Center coordinates: (20, -7), radius: 72. Perimeter = 452.389342; Color: GREEN
41: It is TRIANGLE. Coordinates of vertices: (-24, 88), (90, -90), (-28, -24). Perimeter =  458.651398; Color: ORANGE
42: It is TRIANGLE. Coordinates of vertices: (4, -37), (-11, 3), (87, 68). Perimeter =  294.159979; Color: YELLOW
43: It is TRIANGLE. Coordinates of vertices: (-53, 9), (44, -94), (76, 35). Perimeter =  405.988798; Color: BLUE
44: It is CIRCLE. Center coordinates: (-86, 47), radius: 53. Perimeter = 333.008821; Color: PURPLE
45: It is RECTANGLE. Coordinates of angles: (62, -78), (145, -8). Perimeter = 306.000000; Color: CYAN
46: It is RECTANGLE. Coordinates of angles: (-18, 4), (49, 74). Perimeter = 274.000000; Color: GREEN
47: It is RECTANGLE. Coordinates of angles: (5, -74), (71, 9). Perimeter = 298.000000; Color: PURPLE
48: It is RECTANGLE. Coordinates of angles: (59, -55), (154, 44). Perimeter = 388.000000; Color: BLUE
49: It is CIRCLE. Center coordinates: (-35, -52), radius: 95. Perimeter = 596.902604; Color: PURPLE
50: It is CIRCLE. Center coordinates: (47, 47), radius: 67. Perimeter = 420.973416; Color: CYAN
51: It is TRIANGLE. Coordinates of vertices: (14, -26), (-31, -8), (-99, 63). Perimeter =  290.617404; Color: CYAN
52: It is TRIANGLE. Coordinates of vertices: (14, 34), (-67, -88), (-24, -61). Perimeter =  299.533255; Color: RED
53: It is TRIANGLE. Coordinates of vertices: (-17, -30), (-9, -74), (-97, 97). Perimeter =  387.132841; Color: ORANGE
54: It is TRIANGLE. Coordinates of vertices: (-42, -90), (44, -78), (26, 63). Perimeter =  396.408049; Color: YELLOW
55: It is TRIANGLE. Coordinates of vertices: (-46, -52), (-7, 5), (45, 90). Perimeter =  337.366010; Color: RED
56: It is TRIANGLE. Coordinates of vertices: (-67, 13), (-85, 18), (71, 20). Perimeter =  312.871784; Color: RED
57: It is CIRCLE. Center coordinates: (2, -17), radius: 44. Perimeter = 276.460153; Color: GREEN
58: It is RECTANGLE. Coordinates of angles: (-26, -96), (42, -21). Perimeter = 286.000000; Color: YELLOW
59: It is RECTANGLE. Coordinates of angles: (68, 62), (154, 160). Perimeter = 368.000000; Color: YELLOW
60: It is TRIANGLE. Coordinates of vertices: (-39, 4), (-60, 84), (41, -61). Perimeter =  362.496779; Color: ORANGE
